question,expected_keywords,expected_answer,expected_document
"Cosa è il deep learning?","deep learning,neural networks,features,representation","Il deep learning è una branca del machine learning che usa reti neurali profonde per apprendere rappresentazioni e pattern dai dati.","Introduction.pdf"
"Perché la rappresentazione dei dati è importante?","representation,features,data,learning","La rappresentazione è importante perché una buona trasformazione delle feature può rendere più semplice il problema di apprendimento.","Introduction.pdf"
"Cosa è la classificazione di immagini?","image classification,label,classifier,cat","La classificazione di immagini consiste nell'assegnare a un'immagine una classe o etichetta tra un insieme di categorie possibili.","Image_classification.pdf"
"Quali sono alcune difficoltà della image classification?","semantic gap,viewpoint,illumination,occlusion","La classificazione di immagini è difficile a causa di semantic gap, variazioni di viewpoint, illuminazione, occlusioni, deformazioni e background clutter.","Image_classification.pdf"
"Cosa è un classificatore nearest neighbor?","nearest neighbor,distance,training,label","Il nearest neighbor classifica un esempio assegnandogli l'etichetta dell'immagine di training più simile secondo una distanza.","Image_classification.pdf"
"Cosa è la regressione lineare?","linear regression,target,input,model","La regressione lineare cerca un modello lineare che spieghi una variabile target y a partire dagli input x.","Linear_and_logistic_regression.pdf"
"Cosa rappresentano i parametri theta nella regressione lineare?","theta,parameters,weights,model","I parametri theta rappresentano i pesi del modello usati per produrre la predizione lineare.","Linear_and_logistic_regression.pdf"
"Cosa è la softmax nella classificazione multiclass?","softmax,probability,classes,normalization","La softmax trasforma gli score delle classi in probabilità positive normalizzate che sommano a 1.","Multiclass_classification.pdf"
"Cosa è la cross-entropy loss?","cross-entropy,loss,probability,true class","La cross-entropy loss penalizza il modello quando assegna bassa probabilità alla classe corretta.","Multiclass_classification.pdf"
"Perché i classificatori lineari sono limitati?","linear classifiers,linear decision boundaries,features,non-linear","I classificatori lineari sono limitati perché possono creare solo confini decisionali lineari e non catturano relazioni complesse.","Neural_Networks.pdf"
"Cosa è una rete neurale?","neural network,nesting,functions,non-linearity","Una rete neurale è una composizione di funzioni e trasformazioni non lineari organizzate in più layer.","Neural_Networks.pdf"
"Perché ReLU è preferita rispetto alla sigmoid?","ReLU,sigmoid,activation,gradient","ReLU è spesso preferita perché è semplice, efficiente e riduce alcuni problemi della sigmoid come saturazione e gradienti piccoli.","training_NN.pdf"
"Perché non bisogna inizializzare tutti i pesi a zero?","weights,zero,initialization,symmetry","Inizializzare tutti i pesi a zero impedisce la rottura della simmetria: i neuroni imparano la stessa funzione e ricevono gradienti uguali.","training_NN.pdf"
